,Pet Simulator 99,PETS GO!,SpongeBob Tower Defense,Murder Mystery 2,RIVALS,Adopt Me,Toilet Tower Defense,Fisch,Bubble Gum Simulator INFINITY,Blade Ball,King Legacy
10-03,52.8,0.12,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45
17-03,45.5,6.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24-03,36.9,2.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31-03,23.7,3.55,3.3,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
07-04,67.8,1.92,0.0,3.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
14-04,140.0,1.02,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21-04,48.6,3.22,0.01,5.95,8.0,0.0,4.0,0.18,0.0,0.0,0.0
28-04,116.0,4.83,5.43,2.25,0.0,0.4,0.0,1.18,0.0,0.0,0.0
05-05,66.8,1.24,9.35,3.0,0.0,6.91,0.0,0.0,0.0,0.9,0.0
12-05,85.1,13.9,7.65,0.0,0.0,0.46,0.0,1.31,1.0,0.0,0.0
Сумма,683.1999999999999,39.29,27.39,14.399999999999999,8.0,7.7700000000000005,5.0,2.6799999999999997,1.0,0.9,0.45
